Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000142623.11,4903,ENSG00000142623,PADI1,29943,-0.7666350739501726,3.9824621186275664,-3.1739518144341567,0.006995399050661997,0.24329921861256226,-2.242789343210478
ENSG00000117155.16,8639,ENSG00000117155,SSX2IP,117178,0.46335224321469237,5.1693770001636805,3.211459687509693,0.005995776792592326,0.23045691212323835,-2.247267745569775
ENSG00000133731.10,4405,ENSG00000133731,IMPA1,3612,0.2997231794810129,3.7367103848373864,3.171690718183638,0.006425801359148086,0.235655677924746,-2.2492603683294665
ENSG00000125656.11,3531,ENSG00000125656,CLPP,8192,-0.27089647350038026,4.212975874074122,-3.174895774751771,0.00638407224328445,0.23547475689278868,-2.2505753268749826
ENSG00000177370.5,3182,ENSG00000177370,TIMM22,29928,-0.37531620635192064,3.753479472931973,-3.1579334595307715,0.006608008342976996,0.23833740473934711,-2.2536475170054446
ENSG00000110107.9,2919,ENSG00000110107,PRPF19,27339,-0.22891437727437314,5.552174794421721,-3.2559572943672146,0.005413588329932306,0.22621185666273874,-2.2583243617116056
ENSG00000184574.10,2771,ENSG00000184574,LPAR5,57121,0.4117376295436541,3.4447766440808123,3.1617836841661897,0.006556504818940153,0.238157362696986,-2.261583526109112
ENSG00000163359.16,19465,ENSG00000163359,COL6A3,1293,-0.9705227141085345,1.6078730110370192,-3.1561828264337195,0.0066573964391929575,0.23833740473934711,-2.2721663664326055
ENSG00000090402.8,6139,ENSG00000090402,SI,6476,1.3966925905287293,2.2560714370014345,3.187038464533148,0.007732523491025923,0.2484110313446685,-2.2824281720122395
ENSG00000128298.17,2149,ENSG00000128298,BAIAP2L2,80115,0.6480115309957992,2.7934607203309176,3.105034321539808,0.007357513519545953,0.24474278102347816,-2.2840939771198343
ENSG00000153879.9,4056,ENSG00000153879,CEBPG,1054,0.3105225856436906,5.841474900183008,3.2579179873711652,0.005392027128509624,0.22621185666273874,-2.2850072749289128
ENSG00000173193.15,10274,ENSG00000173193,PARP14,54625,0.4813444842615944,7.663968944613072,3.303109904057033,0.005538457739460866,0.22621185666273874,-2.2921995547810097
ENSG00000177733.7,8713,ENSG00000177733,HNRNPA0,10949,-0.2489990905877537,7.188896079153594,-3.2609101320851797,0.005359287781691312,0.22621185666273874,-2.2933402173495026
ENSG00000092421.16,10956,ENSG00000092421,SEMA6A,57556,0.7768995089226121,2.8299224937371363,3.11075577573484,0.0072725560053322575,0.24474278102347816,-2.2980184619235633
ENSG00000105398.4,1904,ENSG00000105398,SULT2A1,6822,1.1752118498920985,2.371835243515603,3.154420382011936,0.007638596675911346,0.2468848455934074,-2.2988594115808354
ENSG00000245680.10,7538,ENSG00000245680,ZNF585B,92285,0.1977374238480678,5.707000637600229,3.2539274259652817,0.005436000532717929,0.22621185666273874,-2.30279436651883
ENSG00000115271.11,5323,ENSG00000115271,GCA,25801,0.3842759901578887,3.4585371905565863,3.1216738122069705,0.007113116299306894,0.24453572304595847,-2.3043257052762955
ENSG00000167363.14,3831,ENSG00000167363,FN3K,64122,0.5300756474695407,3.2245988492090487,3.100194726665667,0.0074301413183552245,0.24590268440526658,-2.3044182257238055
ENSG00000275993.3,4848,ENSG00000275993,CH507-42P11.8,102724428,0.23898151030086812,5.190717538279691,3.2411944154196886,0.005578707046704098,0.22621185666273874,-2.3059589949451853
ENSG00000117632.23,6247,ENSG00000117632,STMN1,3925,-0.289447492234868,7.343010738392355,-3.25503066690533,0.00542380800039646,0.22621185666273874,-2.3084593890755203
ENSG00000111802.14,2977,ENSG00000111802,TDP2,51567,0.4011661858078437,6.192183447714815,3.2609333497058977,0.005550005167499383,0.22621185666273874,-2.30910976844798
ENSG00000104331.9,7619,ENSG00000104331,IMPAD1,54928,0.2677916643978753,5.212580825262671,3.2406367481323213,0.005585041542731889,0.22621185666273874,-2.313550411412593
ENSG00000167588.13,3822,ENSG00000167588,GPD1,2819,0.7738488081741566,2.65106666550412,3.0934809196146293,0.007744042621026856,0.2484110313446685,-2.320153078745896
ENSG00000134575.13,3484,ENSG00000134575,ACP2,53,0.43718430979577816,4.036908522357591,3.140161303293385,0.006850981614087811,0.23960475538978226,-2.325429169185246
ENSG00000025434.19,4534,ENSG00000025434,NR1H3,10062,0.5144819593560981,3.429103618121909,3.0948234381072717,0.0075115775819474505,0.24590268440526658,-2.3315177951617043
ENSG00000142632.17,3788,ENSG00000142632,ARHGEF19,128272,-0.2862855211487503,4.986458200731075,-3.1904476456925805,0.006185372783212944,0.23045691212323835,-2.3344348555970513
ENSG00000005020.13,5361,ENSG00000005020,SKAP2,8935,0.3264377349977776,5.4331784345481235,3.218233744485565,0.0058455107468559486,0.23045691212323835,-2.3386050329700394
ENSG00000140006.11,3209,ENSG00000140006,WDR89,112840,0.24410996084877823,4.8124983115034174,3.190706165426194,0.006182122134023258,0.23045691212323835,-2.3403851591026528
ENSG00000081791.9,6000,ENSG00000081791,KIAA0141,9812,-0.2602796037531885,5.144323752758612,-3.1922321819819315,0.006162968353802066,0.23045691212323835,-2.3410090901974585
ENSG00000260027.5,1520,ENSG00000260027,HOXB7,3217,0.8558475671685674,1.8681575163981223,3.2020250847217002,0.006041445829729879,0.23045691212323835,-2.34331126309803
ENSG00000251247.11,4739,ENSG00000251247,ZNF345,25850,0.3754914103779905,3.559916941773535,3.1047353950957843,0.007361979115090171,0.24474278102347816,-2.347850033375822
